year,area_code,area,ethnic_group,number,denominator,percent,confidence
2004,E09000001,City of London,White,"4,300","4,800",89.4,
2004,E09000002,Barking and Dagenham,White,"47,400","76,900",61.7,7.5
2004,E09000003,Barnet,White,"105,600","142,500",74.1,6.9
2004,E09000004,Bexley,White,"92,900","122,200",76,6.3
2004,E09000005,Brent,White,"62,300","88,300",70.6,8.1
2004,E09000006,Bromley,White,"131,000","168,600",77.7,5.6
2004,E09000007,Camden,White,"75,900","100,000",75.9,6.9
2004,E09000008,Croydon,White,"115,100","152,600",75.4,6.4
2004,E09000009,Ealing,White,"87,300","113,200",77.2,7
2004,E09000010,Enfield,White,"95,600","133,600",71.5,7.1
2004,E09000011,Greenwich,White,"78,400","109,600",71.5,6.4
2004,E09000012,Hackney,White,"56,700","83,100",68.2,7.6
2004,E09000013,Hammersmith and Fulham,White,"68,200","93,600",72.9,7.3
2004,E09000014,Haringey,White,"65,500","98,900",66.2,6.8
2004,E09000015,Harrow,White,"61,500","80,200",76.7,8.1
2004,E09000016,Havering,White,"100,600","132,100",76.2,6.1
2004,E09000017,Hillingdon,White,"95,900","124,100",77.3,6.2
2004,E09000018,Hounslow,White,"69,800","93,900",74.3,6.6
2004,E09000019,Islington,White,"64,000","90,900",70.4,6.7
2004,E09000020,Kensington and Chelsea,White,"62,300","89,900",69.3,6.6
2004,E09000021,Kingston upon Thames,White,"66,400","87,000",76.4,6.2
2004,E09000022,Lambeth,White,"94,200","126,300",74.6,7.7
2004,E09000023,Lewisham,White,"89,600","120,700",74.2,6.5
2004,E09000024,Merton,White,"72,300","92,300",78.3,6.5
2004,E09000025,Newham,White,"35,200","61,100",57.6,10.2
2004,E09000026,Redbridge,White,"73,700","91,800",80.2,6.8
2004,E09000027,Richmond upon Thames,White,"80,100","109,200",73.3,6.3
2004,E09000028,Southwark,White,"82,100","117,500",69.9,7.6
2004,E09000029,Sutton,White,"79,400","106,600",74.5,6
2004,E09000030,Tower Hamlets,White,"48,100","73,100",65.8,7.5
2004,E09000031,Waltham Forest,White,"58,700","83,500",70.2,7.5
2004,E09000032,Wandsworth,White,"124,900","157,000",79.5,5.4
2004,E09000033,Westminster,White,"73,300","105,000",69.9,6.7
2004,E13000001,Inner London,White,"944,200","1,321,900",71.4,1.9
2004,E13000002,Outer London,White,"1,574,000","2,108,100",74.7,1.5
2004,E12000001,North East,White,"1,076,100","1,571,600",68.5,1
2004,E12000002,North West,White,"2,934,100","4,082,600",71.9,0.7
2004,E12000003,Yorkshire and The Humber,White,"2,201,300","2,981,900",73.8,1
2004,E12000004,East Midlands,White,"1,891,700","2,532,600",74.7,0.9
2004,E12000005,West Midlands,White,"2,205,800","2,985,900",73.9,0.9
2004,E12000006,East,White,"2,532,400","3,273,500",77.4,0.8
